state_name,state_family,n_qutrits,class_name,candidate_name,fid085_best_fidelity,fid085_best_depth,fid085_best_two_qubit_gate_count
cluster2x2,cluster,4,baseline,E_old,0.881565516261,23.0,24.0
cluster2x2,cluster,4,monomial_full,sup012_P012_ph012,0.987833544029,23.0,24.0
cluster2x2,cluster,4,monomial_full,sup012_P012_ph021,0.881565516261,23.0,24.0
cluster2x2,cluster,4,monomial_full,sup012_P012_ph101,0.887337561515,23.0,24.0
cluster2x2,cluster,4,product,U_Z__V_Z,0.881565516261,23.0,24.0
cluster2x2,cluster,4,product,U_SX__V_I,0.924245179672,24.0,24.0
cluster2x2,cluster,4,product,U_SX__V_SXdg,0.881565516261,24.0,24.0
