arm,model,parameters_five,bell_zero_five,ci95_low_five,ci95_high_five,rss_five,residual_dof_five,failed_draws_five,status_five,decaying_to_finite_offset_five,parameters_three,bell_zero_three,ci95_low_three,ci95_high_three,rss_three,residual_dof_three,failed_draws_three,status_three,decaying_to_finite_offset_three,width95_three,width95_five,width_reduction_percent
DD,linear,"[5.665400408439499, -0.26566472374412614]",5.665400408439499,5.54025970823343,5.78922852267892,0.02095550438263518,3,0,ok,,"[5.731265675687886, -0.27316647586495313]",5.731265675687886,5.590753852961162,5.8653194239204005,0.0009908495126669883,1,0,ok,,0.27456557095923895,0.24896881444549024,9.32263882333183
DD,quadratic,"[6.022515164295845, -0.6737958732942654, 0.1020327873875396]",6.022515164295845,5.587486847079643,6.460036330595856,0.011846150893323928,2,0,ok,,"[5.85977310171629, -0.42737538709906037, 0.038552227808529606]",5.85977310171629,5.285275504628839,6.360537139534796,2.3744713247152455e-28,0,0,interpolating,,1.0752616349059574,0.8725494835162131,18.852356004264347
DD,exponential,"[5.694015531660143, 0.05209986524952502]",5.694015531660143,5.556848352434733,5.8292130356311045,0.019759101736905958,3,0,ok,,"[5.757231566157012, 0.05281567487200913]",5.757231566157012,5.608175591173637,5.902639533984338,0.000654804383866918,1,0,ok,,0.294463942810701,0.2723646831963711,7.504911943849313
DD,exponential_offset,"[4.798211352116811, 1.5428704759945195, 0.8492093787416007]",6.34108182811133,,,0.011173580185204259,2,14,unstable,True,"[4.210730290497052, 1.67438269200335, 0.2841585225633845]",5.885112982500402,,,0.0,0,12,unstable,True,,,
TWIRLING,linear,"[5.529465556327655, -0.23346047145946325]",5.529465556327655,5.4095312563572415,5.651112774175181,0.0012157759700035366,3,0,ok,,"[5.545978857223364, -0.23759750861263057]",5.545978857223364,5.412684774732884,5.666673204564855,0.0005354887950039704,1,0,ok,,0.25398842983197145,0.24158151781793968,4.88483354231517
TWIRLING,quadratic,"[5.6462386730727605, -0.3669154620253224, 0.03336374764146869]",5.6462386730727605,5.127379502341918,6.122830074776194,0.00024177877040564217,2,0,ok,,"[5.640450086971175, -0.3509629843100254, 0.028341368924351285]",5.640450086971175,5.003340144880541,6.23387221176136,2.058926962626841e-28,0,0,interpolating,,1.2305320668808193,0.9954505724342759,19.104052691811056
TWIRLING,exponential,"[5.549822636743886, 0.04621583965847103]",5.549822636743886,5.423726645476665,5.6799968324111445,0.0009252550853716695,3,0,ok,,"[5.565836218312707, 0.046943680852819004]",5.565836218312707,5.42036655892216,5.695067090711954,0.0003455133618882586,1,0,ok,,0.2747005317897946,0.2562701869344792,6.709249791121108
TWIRLING,exponential_offset,"[4.2718472988330545, 1.4037579754108986, 0.29804755751185447]",5.675605274243953,,,0.00020248434934198338,2,1,unstable,True,"[4.070120804845569, 1.585683349035241, 0.23970744834108607]",5.65580415388081,,,0.0,0,44,unstable,True,,,
