state_name,class_name,candidate_name,best_depth,best_size,best_two_qubit_gate_count,mean_depth,std_depth,mean_two_qubit_gate_count,is_baseline_reference,is_trivial_identity,is_baseline_equivalent,skip_reason
two_qutrit,baseline,E_old,31.0,87.0,19.0,38.3,8.54,19.0,True,True,True,
two_qutrit,monomial_full,sup012_P012_ph012,55.0,133.0,23.0,61.8,3.66,21.8,False,False,False,
two_qutrit,monomial_full,sup012_P012_ph021,55.0,133.0,23.0,61.8,3.66,21.8,False,False,False,
two_qutrit,monomial_full,sup012_P012_ph101,55.0,133.0,23.0,61.6,3.67,21.8,False,False,False,
two_qutrit,product,U_Z__V_Z,55.0,133.0,23.0,61.8,3.66,21.8,False,False,False,
two_qutrit,product,U_SX__V_SXdg,55.0,135.0,23.0,61.6,3.67,21.8,False,False,False,
two_qutrit,product,U_SXdg__V_SX,55.0,135.0,23.0,61.6,3.67,21.8,False,False,False,
