wariant,skala,bell,blad_standardowy_1sigma,ci95_dolny,ci95_gorny,granica_klasyczna,roznica_od_granicy
DD,1.0,5.463578075658238,0.03416678910611109,5.396612399542885,5.530543751773591,5.638155724715451,-0.17457764905721262
DD,1.5,5.435957422197919,0.034015001831534324,5.369289243674048,5.502625600721791,5.638155724715451,-0.20219830251753113
DD,2.0,5.342571373543169,0.03432501251150856,5.275295585251726,5.4098471618346125,5.638155724715451,-0.2955843511722813
DD,3.0,5.2365975179274855,0.03440318040990074,5.1691685233704465,5.3040265124845245,5.638155724715451,-0.40155820678796506
DD,5.0,4.824349038432463,0.034857406547503834,4.756029777004885,4.892668299860041,5.638155724715451,-0.8138066862829874
linear,0,5.666470402404844,0.031158148642071087,5.605401553241439,5.727539251568249,5.638155724715451,0.02831467768939344
quadratic_actual_moments,0,5.5242848185359525,0.07493057321915386,5.377423593685469,5.671146043386436,5.638155724715451,-0.11387090617949802
