state_name,class_name,candidate_name,best_depth,best_size,best_two_qubit_gate_count,mean_depth,std_depth,mean_two_qubit_gate_count,is_baseline_reference,is_trivial_identity,is_baseline_equivalent,skip_reason
two_qutrit,baseline,E_old,31,87,19,38.3,8.54,19.0,True,True,True,
two_qutrit,monomial_full,sup012_P012_ph012,37,86,19,43.3,3.41,17.8,False,False,False,
two_qutrit,monomial_full,sup012_P012_ph021,37,86,19,43.45,3.5,17.8,False,False,False,
two_qutrit,monomial_full,sup012_P012_ph101,37,89,19,43.65,3.76,17.8,False,False,False,
two_qutrit,product,U_Z__V_Z,37,87,19,43.2,3.36,17.8,False,False,False,
two_qutrit,product,U_SX__V_SXdg,37,90,19,43.6,3.77,17.8,False,False,False,
two_qutrit,product,U_SXdg__V_SX,37,90,19,43.55,3.83,17.8,False,False,False,
